Model,Scenario,Region,Variable,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,34018.8847,,,,,38148.9465,,,,,41270.1063,,,,,43907.5503,,,,,30788.2256,,,,,21076.1268,,,,,12666.2737,,,,,5447.7891,,,,,-543.6871,,,,,-413.2438,,,,,-3728.9053,,,,,-5258.9563,,,,,-6501.4728,,,,,-7657.0574,,,,,-8285.7706,,,,,-8418.9858,,,,,-9072.2251,,,,,-9964.3564,,,,,-8276.8093,,,,,-8611.3823
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Final Energy|Electricity,EJ/yr,,,,,,,,,,,53.2478,,,,,60.8006,,,,,69.4108,,,,,78.9446,,,,,81.0308,,,,,99.962,,,,,133.56,,,,,166.8615,,,,,196.6399,,,,,215.1499,,,,,230.2259,,,,,243.0718,,,,,252.2375,,,,,267.4641,,,,,282.3206,,,,,291.7157,,,,,302.6262,,,,,318.1086,,,,,306.7683,,,,,316.0924
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Final Energy|Gases,EJ/yr,,,,,,,,,,,53.5558,,,,,55.8857,,,,,60.6095,,,,,65.9524,,,,,55.1717,,,,,38.4831,,,,,25.0816,,,,,14.8848,,,,,8.3074,,,,,6.9871,,,,,5.9566,,,,,6.2235,,,,,7.0964,,,,,6.5331,,,,,5.7178,,,,,6.1262,,,,,6.1122,,,,,5.3428,,,,,9.644,,,,,9.4469
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Final Energy|Liquids,EJ/yr,,,,,,,,,,,137.8684,,,,,154.6273,,,,,171.2778,,,,,187.8613,,,,,175.464,,,,,148.5372,,,,,127.8838,,,,,109.9928,,,,,94.2935,,,,,95.5022,,,,,96.1774,,,,,99.3642,,,,,104.7974,,,,,102.9986,,,,,97.8738,,,,,99.8524,,,,,99.3611,,,,,94.185,,,,,119.7578,,,,,117.9225
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Final Energy|Solids|Coal,EJ/yr,,,,,,,,,,,28.4345,,,,,28.8523,,,,,28.5988,,,,,28.6389,,,,,7.881,,,,,2.7787,,,,,1.0722,,,,,0.4455,,,,,0.1921,,,,,0.1558,,,,,0.1246,,,,,0.1134,,,,,0.1178,,,,,0.0917,,,,,0.0691,,,,,0.0675,,,,,0.0603,,,,,0.045,,,,,0.089,,,,,0.0799
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,34018.8847,,,,,38148.9465,,,,,41259.1519,,,,,43943.2767,,,,,31731.4478,,,,,23872.383,,,,,21181.6558,,,,,21409.4609,,,,,21980.7824,,,,,18343.4203,,,,,13867.353,,,,,10980.7007,,,,,15043.5645,,,,,12896.3541,,,,,12750.8198,,,,,13166.0372,,,,,12254.7836,,,,,10392.4725,,,,,9320.3627,,,,,7758.4382
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Final Energy|Electricity,EJ/yr,,,,,,,,,,,53.2478,,,,,60.8006,,,,,69.4105,,,,,78.943,,,,,81.3681,,,,,95.5053,,,,,112.5979,,,,,121.4479,,,,,129.2072,,,,,137.7088,,,,,148.1605,,,,,160.5468,,,,,175.9909,,,,,182.409,,,,,189.6248,,,,,199.0223,,,,,208.4735,,,,,218.8849,,,,,229.6368,,,,,244.0103
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Final Energy|Gases,EJ/yr,,,,,,,,,,,53.5558,,,,,55.8857,,,,,60.6093,,,,,65.9476,,,,,57.7486,,,,,44.8264,,,,,44.3661,,,,,48.2571,,,,,51.8526,,,,,54.7425,,,,,54.7596,,,,,52.9156,,,,,49.2441,,,,,54.0793,,,,,58.1707,,,,,61.1521,,,,,63.3108,,,,,63.3893,,,,,61.7768,,,,,57.7964
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Final Energy|Liquids,EJ/yr,,,,,,,,,,,137.8684,,,,,154.6273,,,,,171.276,,,,,187.8502,,,,,177.8637,,,,,160.6331,,,,,167.6819,,,,,183.1994,,,,,196.2076,,,,,205.8991,,,,,209.1658,,,,,208.6409,,,,,202.8408,,,,,209.9328,,,,,215.3754,,,,,217.5447,,,,,218.989,,,,,218.9014,,,,,218.0734,,,,,210.2042
AIM/CGE 2.0,ADVANCE_2020_Med2C,World,Final Energy|Solids|Coal,EJ/yr,,,,,,,,,,,28.4345,,,,,28.8523,,,,,28.5988,,,,,28.6373,,,,,8.6244,,,,,3.7564,,,,,3.1253,,,,,3.2487,,,,,3.306,,,,,3.2223,,,,,2.7331,,,,,2.2099,,,,,1.6754,,,,,1.7101,,,,,1.7175,,,,,1.679,,,,,1.6263,,,,,1.4775,,,,,1.289,,,,,1.0458
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,34018.8847,,,,,38148.9465,,,,,41259.1519,,,,,43943.2767,,,,,31731.5531,,,,,23879.8703,,,,,15256.4864,,,,,12899.0741,,,,,10055.6276,,,,,8213.4431,,,,,3847.7898,,,,,858.7188,,,,,1753.1507,,,,,919.0067,,,,,1217.7906,,,,,1595.5126,,,,,989.0629,,,,,-915.7661,,,,,-1491.7578,,,,,-2459.8946
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Final Energy|Electricity,EJ/yr,,,,,,,,,,,53.2478,,,,,60.8006,,,,,69.4105,,,,,78.943,,,,,81.3699,,,,,95.4838,,,,,125.7202,,,,,140.9201,,,,,152.5446,,,,,164.5965,,,,,179.9856,,,,,203.0107,,,,,226.7751,,,,,233.7165,,,,,241.1601,,,,,248.1998,,,,,255.12,,,,,265.9823,,,,,279.3073,,,,,294.231
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Final Energy|Gases,EJ/yr,,,,,,,,,,,53.5558,,,,,55.8857,,,,,60.6093,,,,,65.9476,,,,,57.7597,,,,,44.7578,,,,,30.9434,,,,,29.6096,,,,,29.6665,,,,,29.3491,,,,,26.9133,,,,,20.4091,,,,,14.3621,,,,,16.5645,,,,,18.4009,,,,,20.4069,,,,,22.4733,,,,,22.3342,,,,,20.6205,,,,,17.8244
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Final Energy|Liquids,EJ/yr,,,,,,,,,,,137.8684,,,,,154.6273,,,,,171.276,,,,,187.8502,,,,,177.8832,,,,,160.5064,,,,,140.3485,,,,,145.6315,,,,,153.4577,,,,,158.9158,,,,,156.5794,,,,,141.5999,,,,,125.1359,,,,,133.0085,,,,,139.2353,,,,,145.5175,,,,,150.3095,,,,,149.5427,,,,,144.3755,,,,,135.6041
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Final Energy|Solids|Coal,EJ/yr,,,,,,,,,,,28.4345,,,,,28.8523,,,,,28.5988,,,,,28.6373,,,,,8.6297,,,,,3.7515,,,,,1.5474,,,,,1.3325,,,,,1.2603,,,,,1.1736,,,,,0.9194,,,,,0.5396,,,,,0.2988,,,,,0.3164,,,,,0.323,,,,,0.3319,,,,,0.3399,,,,,0.3067,,,,,0.253,,,,,0.1938
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,34018.8847,,,,,38149.3009,,,,,41259.1284,,,,,43970.3298,,,,,43521.0594,,,,,41558.2299,,,,,27777.6264,,,,,17620.4085,,,,,15870.4335,,,,,13654.1067,,,,,11856.7369,,,,,8049.9381,,,,,11011.765,,,,,9749.0081,,,,,9574.3759,,,,,10536.1824,,,,,9812.5665,,,,,7374.9209,,,,,6544.351,,,,,5286.6303
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Final Energy|Electricity,EJ/yr,,,,,,,,,,,53.2478,,,,,60.8008,,,,,69.4106,,,,,79.1407,,,,,88.7025,,,,,100.9923,,,,,102.4925,,,,,131.9544,,,,,144.8002,,,,,153.9114,,,,,163.6593,,,,,176.4293,,,,,193.6138,,,,,198.1049,,,,,204.1028,,,,,210.164,,,,,216.7229,,,,,227.2633,,,,,240.5396,,,,,255.3251
AIM/CGE 2.0,ADVANCE_2030_Med2C,World,Final Energy|Gases,EJ/yr,,,,,,,,,,,53.5558,,,,,55.8859,,,,,60.6094,,,,,65.8958,,,,,69.554,,,,,68.3198,,,,,54.285,,,,,37.6669,,,,,38.5321,,,,,39.9768,,,,,40.8727,,,,,40.5033,,,,,36.2013,,,,,41.3722,,,,,45.7438,,,,,50.4058,,,,,54.6217,,,,,54.9802,,,,,52.1858,,,,,47.097
