Model,Scenario,Category,Category_name,Category_subset,Subset_Ch4,Category_Vetting_historical,IMP_marker,Literature Reference (if applicable),Policy_category,Policy_category_name,Project_study,CO2 emissions 2030 Gt CO2/yr,CO2 emissions 2050 Gt CO2/yr,CO2 emissions 2100 Gt CO2/yr,COVID,GDP|MER-per-capita-in-2100,GDP|MER-per-capita-in-2100_bin,GHG emissions 2030 Gt CO2-equiv/yr (Harmonized-Infilled),GHG emissions 2050 Gt CO2-equiv/yr (Harmonized-Infilled),GHG emissions 2100 Gt CO2-equiv/yr (Harmonized-Infilled),GHG emissions reductions 2019-2030 % modelled Harmonized-Infilled,GHG emissions reductions 2019-2040 % modelled Harmonized-Infilled,GHG emissions reductions 2019-2050 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2030 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2040 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2050 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2020 % modelled Native,CO2 emissions reductions 2019-2030 % modelled Native,CO2 emissions reductions 2019-2040 % modelled Native,CO2 emissions reductions 2019-2050 % modelled Native,CO2 emissions reductions 2019-2100 % modelled Native,CH4 emissions reductions 2019-2030 % modelled Harmonized-Infilled,CH4 emissions reductions 2019-2040 % modelled Harmonized-Infilled,CH4 emissions reductions 2019-2050 % modelled Harmonized-Infilled,N2O emissions reductions 2019-2030 % modelled Harmonized-Infilled,N2O emissions reductions 2019-2040 % modelled Harmonized-Infilled,N2O emissions reductions 2019-2050 % modelled Harmonized-Infilled,FGA emissions reductions 2019-2030 % modelled Harmonized-Infilled,FGA emissions reductions 2019-2040 % modelled Harmonized-Infilled,FGA emissions reductions 2019-2050 % modelled Harmonized-Infilled,GHG emissions reductions 2019-2020 % modelled Native-with-Infilled,GHG emissions reductions 2019-2030 % modelled Native-with-Infilled,GHG emissions reductions 2019-2040 % modelled Native-with-Infilled,GHG emissions reductions 2019-2050 % modelled Native-with-Infilled,GHG emissions reductions 2019-2100 % modelled Native-with-Infilled,Year of 50% CO2 emissions reductions 2019 modelled vs Harmonized-Infilled,Peak Emissions|CO2,Peak Emissions|GHGs,Population-in-2100,Population-in-2100_bin,Time horizon,Vetting_future,Vetting_historical,Climate impacts,Regional_scope,Scenario_scope,Sectoral_scope,Ssp_family,Technology_category_name,Year of peak CO2 Emissions (Harm-Infilled),Year of peak GHG Emissions,Year of netzero CO2 emissions (Harm-Infilled) Table SPM2,Year of netzero GHG emissions (Harm-Infilled) Table SPM2,"Cumulative net-negative CO2 (post net-zero, Gt CO2) (Harm-Infilled)","Cumulative net CO2 (2020 to netzero, Gt CO2) (Harm-Infilled)","Cumulative net CO2 (2020-2100, Gt CO2) (Harm-Infilled)",Median peak warming (MAGICCv7.5.3),P33 peak warming (MAGICCv7.5.3),P67 peak warming (MAGICCv7.5.3),Median warming in 2100 (MAGICCv7.5.3),Median year of peak warming (MAGICCv7.5.3),Median warming at year of netzero Emissions|CO2 (MAGICCv7.5.3),P67 warming at year of netzero (MAGICCv7.5.3) (Harm-Infilled),Exceedance Probability 1.5C (MAGICCv7.5.3),Exceedance Probability 2.0C (MAGICCv7.5.3),Exceedance Probability 3.0C (MAGICCv7.5.3),Category_FaIRv1.6.2,Category_name_FaIRv1.6.2,Median peak warming (FaIRv1.6.2),P33 peak warming (FaIRv1.6.2),P67 peak warming (FaIRv1.6.2),Median warming in 2100 (FaIRv1.6.2),Median year of peak warming (FaIRv1.6.2),Exceedance Probability 1.5C (FaIRv1.6.2),Exceedance Probability 2.0C (FaIRv1.6.2),Exceedance Probability 3.0C (FaIRv1.6.2),IMP_color_rgb,IMP_color_hex,Category_color_rgb,Category_color_hex
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,failed-vetting,failed-vetting,C1a_NZGHGs,Limit to 1.5C (>50%) no or low OS immediate 2020 action,failed_Vetting_historical_failed-vetting,non-IMP,https://doi.org/10.1038/s41558-018-0198-6,P2a,P2a: Immediate global action without transfers,ADVANCE,21.0761268,-0.4132438,-8.6113823,FALSE,34073.49589,Low,26.29042413,2.665564762,-3.741742137,53.74549283,84.04909672,95.31029306,53.72920146,91.29639206,105.1334669,-1.215970614,51.41517538,87.44172112,100.9526123,119.8510145,52.70900542,65.47418745,72.50118485,48.34774056,52.79908853,49.12567246,79.45208958,88.64885205,89.74176378,-1.11406665,52.02518307,81.52409867,92.63395043,104.8836067,2030,43.9075503,57.47089229,8990.6331,Medium,2100,Warning,Fail,no,global,Global integrated scenario,integrated/energy-emissions,2,T0: Standard technology assumptions,2020,2020,2044,2055,-440907.3902,432.3880565,-7.375843562,1.487196588,1.38930428,1.594579587,1.062379838,2038,1.447403205,1.556984952,0.48,0.04,0,C1,C1: limit warming to 1.5¡C (>50%) with no or limited overshoot,1.40406695,1.319687004,1.501157292,1.056860566,2037,0.332588288,0.009387573,0,,,"151, 206, 228",97CEE4
AIM/CGE 2.0,ADVANCE_2020_Med2C,failed-vetting,failed-vetting,C4,NA,failed_Vetting_historical_failed-vetting,non-IMP,https://doi.org/10.1038/s41558-018-0198-6,P2a,P2a: Immediate global action without transfers,ADVANCE,23.872383,18.3434203,7.7584382,FALSE,34800.37463,Low,30.8672229,25.17110555,15.80099167,45.65624322,50.90417404,55.68462889,46.95766913,52.58867729,59.66691025,-1.23674002,45.00268499,50.6767772,57.74033683,82.12607138,46.03504115,49.57550532,50.97872612,43.89858597,36.56168149,24.44280876,21.63060329,54.20544912,54.34949538,-1.092407197,44.03645239,49.38851847,54.20670881,71.50960062,2033,43.9432767,57.42237499,8990.6331,Medium,2100,Warning,Fail,no,global,Global integrated scenario,integrated/energy-emissions,2,T0: Standard technology assumptions,2020,2020,,inf,0,1280.256547,1280.256547,1.842274859,1.677764796,2.013063852,1.842274859,2100,1.842274859,2.013063852,0.826666667,0.343333333,0.013333333,C3,C3: limit warming to 2¡C (>67%),1.772975081,1.627157547,1.926880335,1.772975081,2100,0.820742065,0.26016987,0.004023245,,,"167, 198, 130",A7C682
AIM/CGE 2.0,ADVANCE_2020_WB2C,failed-vetting,failed-vetting,C1b_+veGHGs,Limit to 1.5C (>50%) no or low OS immediate 2020 action,failed_Vetting_historical_failed-vetting,non-IMP,https://doi.org/10.1038/s41558-018-0198-6,P2a,P2a: Immediate global action without transfers,ADVANCE,23.8798703,8.2134431,-2.4598946,FALSE,34468.31792,Low,29.98209365,13.22877574,3.68870768,47.26746086,68.56494347,76.73321475,46.93943542,73.21584938,84.19474866,-1.23674002,44.98543571,70.28304876,81.07782882,105.6671174,46.07252516,56.08196181,59.57355171,43.95554951,43.94258274,33.67309107,79.36550752,88.55719316,89.62424748,-1.121537833,45.80399005,66.60224096,74.72739883,92.21586803,2031,43.9432767,57.49356928,8990.6331,Medium,2100,Warning,Fail,no,global,Global integrated scenario,integrated/energy-emissions,2,T0: Standard technology assumptions,2020,2020,2059,inf,-35747.09587,590.699341,557.2742248,1.525023891,1.422148684,1.64486602,1.394684198,2049,1.481672315,1.614222939,0.538333333,0.091666667,0,C1,C1: limit warming to 1.5¡C (>50%) with no or limited overshoot,1.45668607,1.355434049,1.565291761,1.38402788,2050,0.426016987,0.035762181,0.000447027,,,"151, 206, 228",97CEE4
AIM/CGE 2.0,ADVANCE_2030_Med2C,failed-vetting,failed-vetting,C4,NA,failed_Vetting_historical_failed-vetting,non-IMP,https://doi.org/10.1038/s41558-018-0198-6,P3b,P3b: NDC + Delayed global action,ADVANCE,41.5582299,13.6541067,5.2866303,FALSE,34754.24884,Low,55.52223738,21.84136542,17.77776845,2.551216096,55.81013117,61.66554881,4.150262158,61.78170653,71.02488666,-1.248593447,4.305645587,59.42624072,68.55927385,87.82670304,1.666270852,53.46734146,56.23099103,2.922488766,40.91091967,29.95191617,-15.44999349,-30.64997549,-50.54857929,-1.18400587,2.269174107,53.40659728,59.03758718,66.24681472,2038,43.9703298,57.64222477,8990.6331,Medium,2100,Warning,Fail,no,global,Global integrated scenario,integrated/energy-emissions,2,T0: Standard technology assumptions,2020,2020,,inf,0,1249.879559,1249.879559,1.960863716,1.781682506,2.159823652,1.960863716,2100,1.960863716,2.159823652,0.91,0.47,0.033333333,C4,C4: limit warming to 2¡C (>50%),1.882453189,1.730416462,2.043334964,1.882453189,2100,0.907912383,0.374161824,0.008493518,,,"167, 198, 130",A7C682
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,failed-vetting,failed-vetting,C2,"Limit 2C (>67%) or return to 1.5C (>50%) after high OS, NDCs until 2030",failed_Vetting_historical_failed-vetting,non-IMP,https://doi.org/10.1038/s41558-018-0198-6,P3b,P3b: NDC + Delayed global action,ADVANCE,41.7462485,0.0871537,-5.7464393,FALSE,34319.41851,Low,55.27555995,6.297397703,4.698768181,3.130093298,73.36657386,88.96386887,4.904418061,83.30818425,104.322054,-1.287814566,5.102656912,79.5538065,99.80188269,113.0627743,1.449750955,60.57327226,67.9155425,2.835832894,48.82190164,43.08266481,-15.38399596,-29.18075389,-48.60909101,-1.203206566,2.9296817,70.15429452,85.1588036,88.4396363,2034,44.557478,57.85500624,8990.6331,Medium,2100,Warning,Fail,no,global,Global integrated scenario,integrated/energy-emissions,2,T0: Standard technology assumptions,2020,2025,2047,inf,-348786.7685,641.1363538,292.5394463,1.699189076,1.581613039,1.818473528,1.370994062,2040,1.683560209,1.808148384,0.788333333,0.163333333,0,C1,C1: limit warming to 1.5¡C (>50%) with no or limited overshoot,1.591274507,1.4851407,1.70530722,1.372440321,2039,0.64640143,0.071524363,0.000447027,,,"119, 134, 99",778663
AIM/CGE 2.0,ADVANCE_2030_WB2C,failed-vetting,failed-vetting,C2,"Limit 2C (>67%) or return to 1.5C (>50%) after high OS, NDCs until 2030",failed_Vetting_historical_failed-vetting,non-IMP,https://doi.org/10.1038/s41558-018-0198-6,P3b,P3b: NDC + Delayed global action,ADVANCE,41.5582299,2.782688,-7.1420107,FALSE,34294.58155,Low,55.50402212,9.671048818,2.925528268,2.609850516,56.00150739,83.03069122,4.150262158,61.92747225,97.34715655,-1.248593447,4.305645587,59.56469397,93.59242363,116.4456019,1.666270852,53.53267185,64.7264775,2.922488766,41.00192081,39.72544747,-15.44999349,-30.64225645,-49.42317338,-1.190481193,2.325978774,53.59173232,79.64262371,91.48424229,2038,43.9703298,57.66182303,8990.6331,Medium,2100,Warning,Fail,no,global,Global integrated scenario,integrated/energy-emissions,2,T0: Standard technology assumptions,2020,2020,2052,inf,-309520.3698,765.0361896,455.836507,1.737805327,1.618082429,1.875765105,1.445044989,2048,1.703829339,1.843196199,0.82,0.208333333,0,C2,C2: return warming to 1.5¡C (>50%) after a high overshoot,1.627139662,1.515589258,1.747882226,1.442894086,2048,0.691104157,0.110415735,0.000447027,,,"119, 134, 99",778663
AIM/CGE 2.0,ADVANCE_INDC,failed-vetting,failed-vetting,C5,NA,failed_Vetting_historical_failed-vetting,non-IMP,https://doi.org/10.1088/1748-9326/aab53e,P1c,P1c: NDC,ADVANCE,42.328599,34.2086205,13.143612,FALSE,34708.49011,Low,56.14815727,47.02561563,26.41448462,1.915109161,8.605801662,17.85122434,3.151088783,9.760259682,21.87218434,-1.383634365,3.402139281,10.06013408,21.93269712,70.00503604,1.922975954,13.62800268,20.60885024,2.841129513,8.410958641,6.477816317,-15.40575133,-31.9969642,-51.80691219,-1.289860409,1.698356442,8.088494416,16.94704943,51.93878035,2073,44.4256961,57.97855659,8990.6331,Medium,2100,Warning,Fail,no,global,Global integrated scenario,integrated/energy-emissions,2,T0: Standard technology assumptions,2020,2020,,inf,0,2224.728434,2224.728434,2.484519957,2.26664312,2.716326723,2.484519957,2100,2.484519957,2.716326723,0.995,0.85,0.183333333,C5,C5: limit warming to 2.5¡C (>50%),2.343778941,2.153796276,2.532490403,2.343778941,2100,0.996423782,0.810907465,0.094769781,,,"140, 167, 208",8CA7D0
AIM/CGE 2.0,ADVANCE_NoPolicy,failed-vetting,failed-vetting,C7,NA,failed_Vetting_historical_failed-vetting,non-IMP,https://doi.org/10.1088/1748-9326/aab53e,P1a,P1a: Baseline,ADVANCE,51.371473,57.7187628,74.030337,FALSE,35330.02587,Low,67.13887197,77.27536958,99.54166837,-14.90065972,-25.34128539,-32.24814009,-15.17181191,-25.53439207,-31.24208763,-1.706999099,-13.73649183,-22.96402573,-27.7893977,-63.90323905,-11.90272907,-20.99125728,-28.90772019,-12.47054731,-22.10641385,-30.18061438,-15.73133486,-32.64683599,-52.64552046,-1.715629029,-14.10576853,-23.85721457,-30.25513613,-65.4342326,inf,74.030337,99.54166837,8990.6331,Medium,2100,Pass,Fail,no,global,Global integrated scenario,integrated/energy-emissions,2,T0: Standard technology assumptions,2100,2100,,inf,0,4835.831241,4835.831241,3.934223979,3.614264182,4.280924124,3.934223979,2100,3.934223979,4.280924124,1,1,0.928333333,C7,C7: limit warming to 4¡C (>50%),3.634533069,3.34271219,3.937053557,3.634533069,2100,1,0.999552973,0.867232901,,,"241, 136, 114",F18872
AIM/CGE 2.0,ADVANCE_Reference,failed-vetting,failed-vetting,C7,NA,failed_Vetting_historical_failed-vetting,non-IMP,https://doi.org/10.1088/1748-9326/aab53e,P1b,P1b: Current policies,ADVANCE,48.7038884,53.1166667,67.6053914,FALSE,35299.56083,Low,63.43682213,69.68592729,86.81669601,-11.03919215,-18.3668733,-21.97756462,-12.14495824,-20.76872146,-23.48325289,-1.383634458,-11.14687336,-18.98749173,-21.21725022,-54.28188843,-9.364363662,-16.91433001,-23.5045001,-10.99247075,-19.69660118,-26.69992361,20.69230449,53.65929385,53.85195751,-1.224452755,-10.52899474,-17.36040502,-20.71229625,-48.68596063,inf,67.6053914,86.81669601,8990.6331,Medium,2100,Warning,Fail,no,global,Global integrated scenario,integrated/energy-emissions,2,T0: Standard technology assumptions,2100,2100,,inf,0,4453.487889,4453.487889,3.589131981,3.293615409,3.88201464,3.589131981,2100,3.589131981,3.88201464,1,1,0.821666667,C7,C7: limit warming to 4¡C (>50%),3.316457522,3.056398067,3.60118904,3.316457522,2100,1,0.997764864,0.708985248,,,"241, 136, 114",F18872
AIM/CGE 2.0,EMF30_BCOC-EndU,failed-vetting,failed-vetting,C7,NA,failed_Vetting_historical_failed-vetting,non-IMP,http://doi.org/10.1007/s10584-020-02938-5,P1d,P1d: Other policies,EMF30,49.8939333,57.6210425,68.3404029,FALSE,,,67.23393148,78.11749048,94.10719673,-14.53295933,-25.55340105,-33.07309514,-15.15922139,-26.45723316,-33.25856951,-1.623995778,-13.98606363,-24.83210064,-31.63916698,-56.12827048,-12.76142332,-22.56284904,-31.19424372,-13.39312503,-23.36395905,-31.77245155,-13.81160453,-30.44650679,-50.11345672,-2.250213712,-14.49069013,-25.37124957,-33.04137469,-60.11792819,inf,68.3404029,94.10719673,,,2100,Pass,Fail,no,global,Global integrated scenario,integrated/energy-emissions,2,,2100,2100,,inf,0,4647.224984,4647.224984,3.941059033,3.608456563,4.274521751,3.941059033,2100,3.941059033,4.274521751,1,1,0.923333333,C7,C7: limit warming to 4¡C (>50%),3.573463553,3.291598298,3.880667847,3.573463553,2100,1,0.999105945,0.844881538,,,"241, 136, 114",F18872
